id,esco_occupation,isco_code,onet_code,onet_occupation,matching_job_titles,semantic_similarity,confidence,concept_uri
1897,chief fire officer,1349,33-1021.01,municipal fire fighting and prevention supervisors,"['fire captain', 'fire chief', 'fire lieutenant']",0.9165874749422074,0.5,http://data.europa.eu/esco/occupation/a05d0a6d-7b60-445a-8dcb-282c7d5a6852
2013,publications coordinator,1349,27-3041.00,editors,na,0.7849855691194535,1.0,http://data.europa.eu/esco/occupation/aab8009a-5759-4f52-8865-6cc657b1f099
2230,service manager,1349,11-9199.00,"managers, all other",['service director'],0.6927261084318161,0.5,http://data.europa.eu/esco/occupation/bcc2c1db-f969-4355-bebf-4878ff6c2a94
2416,museum director,1349,25-4012.00,curators,"['museum director', 'art gallery director']",0.8252437651157379,1.0,http://data.europa.eu/esco/occupation/cc937d5f-4072-4fe7-bc23-2c9a465b8754
2446,airspace manager,1349,53-2021.00,air traffic controllers,na,0.816036719083786,0.5,http://data.europa.eu/esco/occupation/cfda19c9-c7e1-497d-a18b-66e29c773745
2568,front of house manager,1349,11-9199.00,"managers, all other",na,0.616569258272648,1.0,http://data.europa.eu/esco/occupation/db4057de-0c5a-4f68-8f81-2c0765978afb
2569,artistic director,1349,27-2012.02,"directors- stage, motion pictures, television, and radio",['artistic director'],0.8075891613960267,1.0,http://data.europa.eu/esco/occupation/db4f28ff-c208-4830-ab8b-4b07776db134
2642,book publisher,1349,27-3041.00,editors,na,0.7624351978302002,0.5,http://data.europa.eu/esco/occupation/e2ad6d3e-1736-466b-a2bf-9823f683c8ab
2810,medical laboratory manager,1349,11-9111.00,medical and health services managers,na,0.7937425911426543,1.0,http://data.europa.eu/esco/occupation/f4de7e28-ca67-46cd-b760-30e02b3aa83b
2886,archive manager,1349,25-4011.00,archivists,['archivist'],0.8560954093933105,1.0,http://data.europa.eu/esco/occupation/fb022de4-920a-4eb0-80f9-fbb8ecfc36b1
41,rooms division manager,1411,11-9081.00,lodging managers,"['front desk manager', 'front office manager']",0.7887888073921204,1.0,http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7
