id,concept_type,concept_uri,preferred_label,alt_labels,description,isco_group,isco_level_1,isco_level_2,isco_level_3,isco_level_4
665,Occupation,http://data.europa.eu/esco/occupation/373db468-bd25-4b67-a6e0-4ac79d9a9e85,fruit and vegetable picker,"fruit picker
fruit and vegetable harvester
fruit & vegetable picker
berry picker
vegetable picker
fruit and veg harvester
farm hands
fruit and veg picker
crop harvester
crop picker
fruit and vegetable pickers","Fruit and vegetable pickers select and harvest fruits, vegetables and nuts according to the method appropriate for the type of fruit, vegetable or nut.",9211,9,92,921,9211
667,Occupation,http://data.europa.eu/esco/occupation/374d925a-107b-4c99-bc8b-75483441f062,artistic painter,"painting & drawing artist
creative painter
painting artist
drawing & painting artist
drawing and painting artist
sign painter
matte painter
painting and drawing artist
street painter
visual artist","Artistic painters create paintings in oil or water colours or pastel, miniatures, collages, and drawings executed directly by the artist and/or entirely under their control .",2651,2,26,265,2651
669,Occupation,http://data.europa.eu/esco/occupation/375a4d32-0950-45db-9d85-3fc2a86f1d85,starch converting operator,"starch converter
starch conversion worker
starch worker
starch operator","Starch converting operators control converters to change starch into glucose or corn syrup. After processing, they test products to verify their purity.",8160,8,81,816,8160
670,Occupation,http://data.europa.eu/esco/occupation/3765a20d-5160-4e8f-82f1-ad7872b9db24,information manager,"information officer
academic information coordinator
documentalist
information scientist
knowledge manager
records manager","Information managers are responsible for systems that provide information to people. They assure access to the information in different work environments (public or private) based on theoretical principles and hands-on capabilities in storing, retrieving and communicating information.",2622,2,26,262,2622
672,Occupation,http://data.europa.eu/esco/occupation/379a4f3f-4985-4764-8b2f-037946da855d,gaming inspector,"gambling supervisor
gambling inspector
gaming investigator
gambling investigator","Gaming inspectors, have the ability to deal and inspect all the respective games and carry out all gaming operations to the highest possible standards of efficiency, security and customer service in accordance with company procedures and current legislation. Their responsibility is to oversee all the irrespective games played, and ensure that rules are adhered to and players don't cheat. They are responsible for the maintenance of the equipment and handle all customer questions and complaints.",3359,3,33,335,3359
673,Occupation,http://data.europa.eu/esco/occupation/37b15470-3b2d-4ae0-816c-c7c06ed15c99,library assistant,"library technician
senior library assistant
library services assistant
assistant librarian
library clerk","Library assistants assist the librarian in the day-to-day activities of the library. They help clients find the materials they need, check out library materials and restock the shelves. ",4411,4,44,441,4411
675,Occupation,http://data.europa.eu/esco/occupation/37c7880e-cfee-4c41-a41b-061682fefde3,butcher,"butchery expert
butchery worker
animal butcher"," Butchers order, inspect and buy meat to prepare it and sell it as consumable meat products. They perform activities such as cutting, trimming, boning, tying, and grinding beef, pork, and poultry meat. They prepare those mentioned sorts of meat for consumption. 
",7511,7,75,751,7511
681,Occupation,http://data.europa.eu/esco/occupation/38395ab3-766c-4c6c-8d96-430eff19ec8d,car leasing agent,"senior car leasing agent
vehicle fleet leasing consultant
car leasing team leader
vehicle leasing sales agent
car leasing office manager
assistant car leasing agent
vehicle fleet leasing agent
graduate car leasing agent
car leasing team worker
trainee car leasing agent
vehicle leasing consultant
car leasing office worker
automobile leasing agent
fleet leasing consultant
automobile leasing representative
fleet leasing agent","Car leasing agents represent businesses involved in financing vehicles, offering appropriate leasing schemes and additional services related to the vehicle. They document transactions, insurances and instalments.",5223,5,52,522,5223
683,Occupation,http://data.europa.eu/esco/occupation/3880e9e8-bc2b-48d9-8afc-a0f258c1c4b0,police detective,"detective inspector
detective superintendent
detective constable
chief detective","Police detectives gather and compile evidence which assists them in the solution of crimes. They use investigative techniques to gather evidence, and interview all parties connected to their line of enquiry, and cooperate with other police department divisions to gather the evidence.",3355,3,33,335,3355
684,Occupation,http://data.europa.eu/esco/occupation/388155cc-7ab8-46c7-8051-aefc7b276c84,sport official,"off-court official
referee
technical official
assistant referee
plate umpire
judge
on-ice official
on-the-water official
timekeeper
arbiter
touch judge
linesman
basketball crew chief
commissaire
field umpire
arbitrator
match referee
umpire
on-court official","Sports officials are responsible for administering the rules and laws of a sport and for ensuring fair play according to the rules and laws. The role includes applying rules/ laws during the sport or activity, contributing to health, safety and protection of participants and others during the sport or activity, organising sport events, establishing and maintaining effective working relationships with competitors and others, and communicating effectively.",3422,3,34,342,3422
686,Occupation,http://data.europa.eu/esco/occupation/38d9c76b-1a7b-4d65-879b-733ae7e9364e,investment adviser,"financial and investment adviser
investment advisor
investment consultant
corporate investment adviser
investing director
investment executive
investment manager
RIA","Investment advisers are professionals who offer transparent advice by recommending suitable solutions on financial matters to their clients. They advise on investing pension or free funds in securities such as stocks, bonds, mutual funds and exchange-traded funds to customers. Investment advisers serve individuals, households, families and owners of small companies.",2412,2,24,241,2412
