id,occupation,isco_code,skills_based_sector_code,skills_based_sector,sub_sector_code,sub_sector,risk_category,job_zone,education_level,related_work_experience,on_the_job_training,annual_earnings,remote_labor_index,physical_proximity,exposure_score,n_desirable,n_desirable_and_highly_viable,n_safe_desirable,n_safe_desirable_and_highly_viable,n_safe_desirable_strict,n_safe_desirable_strict_and_highly_viable,concept_uri
889,social worker,2635,14,social workers,14.1,social workers,High risk,4.0,5.5743,4.1416,3.2409,36551.41453,0.615385,0.79,0.551222,80,16,67,12,47,10,http://data.europa.eu/esco/occupation/4b05bef2-ded4-4b09-ab94-f4c6a555a775
891,environmental protection manager,1349,1,"technicians, construction, transport & security workers",1.5,environmental & agriculture workers,Lower risk,4.0,6.5935,6.493,4.5472,42935.325666,0.694444,0.4025,0.350694,48,9,35,6,8,3,http://data.europa.eu/esco/occupation/4b214899-ed00-4156-b269-a23df0fb1093
892,ICT business analysis manager,2511,12,ict workers,12.1,"ict system engineers, adminstrators & managers",Lower risk,4.0,5.7551,7.8995,4.0479,41914.329519,0.777778,0.4775,0.325747,75,14,54,10,15,2,http://data.europa.eu/esco/occupation/4b3201cb-ffc5-4f61-9fc3-5c0f0038fa5f
894,paper machine operator,8171,4,manufacturing workers,4.4,paper & wood manufacturing workers,Lower risk,2.0,2.0099,3.8507,2.9896,20238.148148,0.0,0.605,0.777817,141,84,141,84,23,14,http://data.europa.eu/esco/occupation/4b6a55a8-8ec9-4ae2-9f62-ebcea1fa93d0
895,cylindrical grinder operator,8122,4,manufacturing workers,4.1,metal workers & machine operators,Lower risk,2.0,2.2128,4.3425,3.5772,22295.4,0.133333,0.5475,0.68884,165,92,165,92,91,57,http://data.europa.eu/esco/occupation/4b6b09e6-e1f6-46d8-b16a-d3522c367983
897,non-vessel operating common carrier,3324,10,logistics workers,10.2,import export specialists,Lower risk,2.0,3.6316,6.331,3.4689,38128.948946,0.478261,0.6,0.559503,3,3,3,3,0,0,http://data.europa.eu/esco/occupation/4b72d306-9781-434d-8522-1fcaf892cdce
899,leather laboratory technician,3111,8,"textile, clothing, leather & footwear manufacturing workers",8.1,shoe & leather manufacturing workers,Lower risk,3.0,4.5735,4.4165,3.6283,25086.502646,0.230769,0.5825,0.669385,15,4,14,3,5,3,http://data.europa.eu/esco/occupation/4b8dced3-ac9e-445d-8787-e07daf52e295
905,book editor,2641,6,arts & media workers,6.2,"journalists, publishers & composers",Lower risk,4.0,6.3914,7.2259,3.6968,32244.680297,0.9,0.535,0.231301,57,10,44,10,2,0,http://data.europa.eu/esco/occupation/4bef1707-a251-427e-9d8b-96595ec38d45
910,winding machine operator,8151,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers,Lower risk,2.0,1.4616,2.0343,2.6491,24441.0,0.095238,0.635,0.757973,30,3,30,3,11,0,http://data.europa.eu/esco/occupation/4c86c7c1-0839-456e-856f-65396d1f39d7
913,intelligence officer,2422,1,"technicians, construction, transport & security workers",1.4,transport & security workers,Lower risk,4.0,5.8428,5.6244,5.1243,33292.986333,0.290323,0.4925,0.591199,20,2,18,2,2,0,http://data.europa.eu/esco/occupation/4ca8ba6c-dc55-40c0-ae6c-d55c94dd2e03
914,street warden,5419,1,"technicians, construction, transport & security workers",1.4,transport & security workers,Lower risk,3.0,3.439,3.598,3.9577,16593.799392,0.217391,0.73,0.755847,30,8,28,7,10,1,http://data.europa.eu/esco/occupation/4cbe5a17-056c-489a-9f10-f9d816905000
916,underground miner,8111,1,"technicians, construction, transport & security workers",1.6,mining engineers & technicians,Lower risk,2.0,1.9195,4.8173,3.1056,28282.005769,0.076923,0.5325,0.701098,21,4,21,4,0,0,http://data.europa.eu/esco/occupation/4cdfac8c-b000-4279-985e-31bc1fbe2447
917,official veterinarian,2250,13,animal care & husbandry workers,13.1,animal care workers & trainers  ,Lower risk,5.0,10.7794,4.5168,3.6436,35393.0,0.421053,0.905,0.723842,9,6,9,6,2,1,http://data.europa.eu/esco/occupation/4ce42c3c-8a46-40b6-9274-1f5cee3c5cba
